ThoiGian,MucNuocA(cm),MucNuocB(cm),LuuLuong(m3/s),TrangThai,ThongBao
16:12:02 23/10/2025,55.0,95.7,17.28,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:12:04 23/10/2025,61.0,60.6,42.88,"Bình thường","An toàn"
16:12:06 23/10/2025,47.7,55.3,44.31,"Bình thường","An toàn"
16:12:08 23/10/2025,24.9,5.0,28.92,"Bình thường","An toàn"
16:12:10 23/10/2025,96.5,56.0,38.14,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:12:12 23/10/2025,48.7,29.8,33.02,"Bình thường","An toàn"
16:12:14 23/10/2025,34.6,0.9,44.02,"Bình thường","An toàn"
16:12:16 23/10/2025,2.1,88.8,23.79,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:12:18 23/10/2025,5.7,4.1,8.83,"Bình thường","An toàn"
16:12:20 23/10/2025,23.4,69.3,18.91,"Bình thường","An toàn"
16:12:22 23/10/2025,10.0,20.2,36.69,"Bình thường","An toàn"
16:12:24 23/10/2025,90.7,55.2,43.86,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:12:26 23/10/2025,74.0,13.5,24.98,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:12:28 23/10/2025,78.9,60.0,48.66,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:12:30 23/10/2025,20.2,8.3,34.73,"Bình thường","An toàn"
16:12:32 23/10/2025,2.2,73.4,7.50,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:12:34 23/10/2025,65.5,63.9,9.33,"Bình thường","An toàn"
16:12:36 23/10/2025,2.1,89.3,37.58,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:12:38 23/10/2025,8.1,51.4,12.12,"Bình thường","An toàn"
16:12:40 23/10/2025,97.2,82.8,1.05,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:12:42 23/10/2025,27.7,86.2,14.01,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:12:44 23/10/2025,26.9,31.0,24.12,"Bình thường","An toàn"
16:12:46 23/10/2025,99.7,56.6,48.53,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:12:48 23/10/2025,78.0,19.7,43.59,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:12:50 23/10/2025,96.9,69.6,16.33,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:12:52 23/10/2025,8.4,12.2,9.32,"Bình thường","An toàn"
16:12:54 23/10/2025,29.1,50.5,13.98,"Bình thường","An toàn"
16:12:56 23/10/2025,59.5,12.0,22.25,"Bình thường","An toàn"
16:12:58 23/10/2025,55.7,90.7,30.40,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:13:00 23/10/2025,77.9,64.1,28.84,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:13:02 23/10/2025,97.4,57.2,23.85,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:13:04 23/10/2025,84.1,64.0,48.66,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:13:06 23/10/2025,60.6,20.7,0.44,"Bình thường","An toàn"
16:13:08 23/10/2025,9.5,51.0,6.61,"Bình thường","An toàn"
16:13:10 23/10/2025,25.1,99.4,33.42,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:13:12 23/10/2025,20.2,84.0,13.68,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:13:14 23/10/2025,68.5,74.6,6.53,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:13:16 23/10/2025,18.7,74.1,29.82,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:13:18 23/10/2025,61.0,98.8,34.53,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:13:20 23/10/2025,30.4,1.6,22.72,"Bình thường","An toàn"
16:13:22 23/10/2025,15.3,94.6,7.93,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:13:24 23/10/2025,83.0,81.5,49.39,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:13:26 23/10/2025,1.5,95.7,13.05,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:13:28 23/10/2025,90.9,46.0,47.26,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:13:30 23/10/2025,47.2,40.2,46.77,"Bình thường","An toàn"
16:13:32 23/10/2025,56.3,18.6,34.69,"Bình thường","An toàn"
16:13:34 23/10/2025,61.1,23.5,30.55,"Bình thường","An toàn"
16:13:36 23/10/2025,57.9,28.4,9.25,"Bình thường","An toàn"
16:13:38 23/10/2025,71.8,91.6,49.65,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:13:40 23/10/2025,82.8,74.4,30.32,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:13:42 23/10/2025,20.0,76.9,18.98,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:13:44 23/10/2025,43.4,35.9,34.38,"Bình thường","An toàn"
16:13:46 23/10/2025,25.1,96.8,6.20,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:13:48 23/10/2025,5.9,65.1,48.60,"Bình thường","An toàn"
16:13:50 23/10/2025,56.9,22.7,44.19,"Bình thường","An toàn"
16:13:52 23/10/2025,70.6,4.0,13.10,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:13:54 23/10/2025,44.4,45.9,31.77,"Bình thường","An toàn"
16:13:56 23/10/2025,13.5,37.1,30.76,"Bình thường","An toàn"
16:13:58 23/10/2025,89.9,62.9,49.98,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:14:00 23/10/2025,40.8,85.9,9.68,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:14:02 23/10/2025,10.2,59.9,38.50,"Bình thường","An toàn"
16:14:04 23/10/2025,59.6,6.0,18.01,"Bình thường","An toàn"
16:14:06 23/10/2025,80.6,36.3,46.97,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:14:08 23/10/2025,91.4,99.3,45.01,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:14:10 23/10/2025,23.5,46.6,44.15,"Bình thường","An toàn"
16:14:12 23/10/2025,80.5,12.3,11.18,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:14:15 23/10/2025,22.8,80.5,4.63,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:14:17 23/10/2025,47.7,81.8,4.07,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:14:19 23/10/2025,69.9,68.6,37.53,"Bình thường","An toàn"
16:14:21 23/10/2025,8.3,20.8,35.56,"Bình thường","An toàn"
16:14:23 23/10/2025,33.5,48.4,49.53,"Bình thường","An toàn"
16:14:25 23/10/2025,91.9,76.4,12.62,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:14:27 23/10/2025,75.8,24.5,49.37,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:14:29 23/10/2025,25.9,23.1,18.11,"Bình thường","An toàn"
16:14:31 23/10/2025,24.3,80.4,43.17,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:14:33 23/10/2025,10.0,60.9,22.77,"Bình thường","An toàn"
16:14:35 23/10/2025,73.7,26.1,5.78,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:14:37 23/10/2025,59.0,61.6,1.94,"Bình thường","An toàn"
16:14:39 23/10/2025,71.3,85.4,18.75,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:14:41 23/10/2025,19.8,22.4,29.84,"Bình thường","An toàn"
16:14:43 23/10/2025,65.3,50.7,48.23,"Bình thường","An toàn"
16:14:45 23/10/2025,51.8,46.5,46.21,"Bình thường","An toàn"
16:14:47 23/10/2025,0.5,43.0,1.71,"Bình thường","An toàn"
16:14:49 23/10/2025,63.0,16.8,25.18,"Bình thường","An toàn"
16:14:51 23/10/2025,23.8,16.3,14.60,"Bình thường","An toàn"
16:14:53 23/10/2025,52.6,90.9,4.58,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:14:55 23/10/2025,53.2,97.9,25.70,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:14:57 23/10/2025,23.1,67.3,12.27,"Bình thường","An toàn"
16:14:59 23/10/2025,70.5,43.2,26.99,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:15:01 23/10/2025,81.4,74.4,45.33,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:15:03 23/10/2025,47.6,28.2,30.34,"Bình thường","An toàn"
16:15:05 23/10/2025,25.2,63.2,9.56,"Bình thường","An toàn"
16:15:07 23/10/2025,28.1,35.7,28.12,"Bình thường","An toàn"
16:15:09 23/10/2025,90.0,49.7,45.06,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:15:11 23/10/2025,11.2,24.5,8.63,"Bình thường","An toàn"
16:15:13 23/10/2025,15.9,25.0,11.52,"Bình thường","An toàn"
16:15:15 23/10/2025,8.4,89.3,10.21,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:15:17 23/10/2025,61.5,29.6,41.49,"Bình thường","An toàn"
16:15:19 23/10/2025,33.8,61.1,38.65,"Bình thường","An toàn"
16:15:21 23/10/2025,16.3,3.3,6.12,"Bình thường","An toàn"
16:15:23 23/10/2025,84.6,12.4,49.17,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:15:25 23/10/2025,17.5,42.8,14.10,"Bình thường","An toàn"
16:15:27 23/10/2025,2.9,26.5,19.66,"Bình thường","An toàn"
16:15:29 23/10/2025,73.2,15.5,36.31,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:15:31 23/10/2025,18.9,74.1,22.89,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:15:33 23/10/2025,92.3,50.7,38.46,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:15:35 23/10/2025,45.1,42.0,49.73,"Bình thường","An toàn"
16:15:37 23/10/2025,5.3,50.5,18.90,"Bình thường","An toàn"
16:15:39 23/10/2025,4.8,80.4,16.12,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:15:41 23/10/2025,19.4,81.8,17.27,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:15:43 23/10/2025,69.5,91.3,22.63,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:15:45 23/10/2025,30.4,59.5,23.97,"Bình thường","An toàn"
16:15:47 23/10/2025,62.0,39.3,16.07,"Bình thường","An toàn"
16:15:49 23/10/2025,51.2,9.4,22.86,"Bình thường","An toàn"
16:15:51 23/10/2025,11.1,16.7,4.52,"Bình thường","An toàn"
16:15:53 23/10/2025,79.9,88.6,7.52,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:15:55 23/10/2025,42.8,15.7,19.37,"Bình thường","An toàn"
16:15:57 23/10/2025,66.6,93.5,18.53,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:15:59 23/10/2025,16.6,93.2,17.47,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:16:01 23/10/2025,24.4,4.8,7.32,"Bình thường","An toàn"
16:16:03 23/10/2025,55.1,94.6,9.51,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:16:05 23/10/2025,25.8,49.8,20.89,"Bình thường","An toàn"
16:16:07 23/10/2025,92.5,31.7,29.22,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:16:09 23/10/2025,82.4,13.7,38.03,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:16:11 23/10/2025,61.4,18.4,17.85,"Bình thường","An toàn"
16:16:13 23/10/2025,62.7,82.7,29.25,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:16:15 23/10/2025,89.4,99.6,12.92,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:16:17 23/10/2025,50.6,23.5,27.08,"Bình thường","An toàn"
16:16:19 23/10/2025,64.9,84.7,36.57,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:16:21 23/10/2025,59.1,24.2,0.85,"Bình thường","An toàn"
16:16:23 23/10/2025,73.3,59.4,18.74,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:16:25 23/10/2025,69.3,53.4,1.32,"Bình thường","An toàn"
16:16:27 23/10/2025,68.1,66.6,3.88,"Bình thường","An toàn"
16:16:29 23/10/2025,43.2,89.6,25.23,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:16:31 23/10/2025,36.3,23.9,37.04,"Bình thường","An toàn"
16:16:33 23/10/2025,12.9,93.2,46.93,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:16:35 23/10/2025,54.1,51.8,43.85,"Bình thường","An toàn"
16:16:37 23/10/2025,78.7,62.2,16.35,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:16:39 23/10/2025,54.8,72.5,19.35,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:16:41 23/10/2025,88.0,70.2,32.96,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:16:43 23/10/2025,39.8,17.6,2.73,"Bình thường","An toàn"
16:16:45 23/10/2025,66.9,12.0,29.88,"Bình thường","An toàn"
16:16:47 23/10/2025,12.9,47.9,13.89,"Bình thường","An toàn"
16:16:49 23/10/2025,90.5,24.8,45.54,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:16:51 23/10/2025,56.6,45.7,38.65,"Bình thường","An toàn"
16:16:53 23/10/2025,8.3,88.3,36.71,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:16:55 23/10/2025,77.8,77.0,36.40,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:16:57 23/10/2025,53.7,37.0,10.46,"Bình thường","An toàn"
16:16:59 23/10/2025,80.5,94.3,16.84,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:17:01 23/10/2025,35.3,55.6,32.47,"Bình thường","An toàn"
16:17:03 23/10/2025,91.1,72.3,29.76,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:17:05 23/10/2025,69.7,71.9,11.43,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:17:07 23/10/2025,85.8,88.0,35.81,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:17:09 23/10/2025,6.2,63.1,33.17,"Bình thường","An toàn"
16:17:11 23/10/2025,0.3,54.8,37.31,"Bình thường","An toàn"
16:17:13 23/10/2025,36.1,28.3,29.99,"Bình thường","An toàn"
16:17:15 23/10/2025,7.3,61.2,49.37,"Bình thường","An toàn"
16:17:17 23/10/2025,75.5,39.9,15.45,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:17:19 23/10/2025,76.5,5.0,9.37,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:17:21 23/10/2025,80.8,76.7,6.49,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:17:23 23/10/2025,72.0,65.5,10.94,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:17:25 23/10/2025,75.7,89.2,14.03,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:17:27 23/10/2025,59.8,97.0,1.78,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:17:29 23/10/2025,84.6,83.1,21.05,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:17:31 23/10/2025,69.0,70.2,23.39,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:17:33 23/10/2025,68.8,56.1,31.83,"Bình thường","An toàn"
16:17:35 23/10/2025,20.0,17.2,45.52,"Bình thường","An toàn"
16:17:37 23/10/2025,35.8,37.6,40.17,"Bình thường","An toàn"
16:17:39 23/10/2025,8.5,21.1,33.80,"Bình thường","An toàn"
16:17:41 23/10/2025,33.1,94.6,15.28,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:17:43 23/10/2025,58.3,27.9,17.65,"Bình thường","An toàn"
16:17:45 23/10/2025,40.6,68.2,44.09,"Bình thường","An toàn"
16:17:47 23/10/2025,18.6,58.7,48.82,"Bình thường","An toàn"
16:17:49 23/10/2025,21.3,65.5,39.10,"Bình thường","An toàn"
16:17:51 23/10/2025,56.0,16.4,14.87,"Bình thường","An toàn"
16:17:53 23/10/2025,27.4,54.9,13.75,"Bình thường","An toàn"
16:17:55 23/10/2025,97.9,6.2,32.02,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:17:57 23/10/2025,26.0,37.6,46.70,"Bình thường","An toàn"
16:17:59 23/10/2025,61.1,4.5,17.37,"Bình thường","An toàn"
16:18:01 23/10/2025,14.3,1.8,21.97,"Bình thường","An toàn"
16:18:03 23/10/2025,96.1,12.1,15.51,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:18:05 23/10/2025,4.5,97.2,40.05,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:18:07 23/10/2025,19.8,71.3,10.37,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:18:10 23/10/2025,71.8,23.8,28.26,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:18:12 23/10/2025,59.7,99.5,12.52,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:18:14 23/10/2025,52.8,31.1,39.16,"Bình thường","An toàn"
16:18:16 23/10/2025,84.6,97.1,33.81,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:18:18 23/10/2025,73.8,35.3,6.30,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:18:20 23/10/2025,33.1,21.6,27.36,"Bình thường","An toàn"
16:18:22 23/10/2025,99.1,87.0,30.54,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:18:24 23/10/2025,25.0,54.9,24.11,"Bình thường","An toàn"
16:18:26 23/10/2025,87.1,9.2,33.76,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:18:28 23/10/2025,75.1,85.1,5.75,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:18:30 23/10/2025,53.9,72.3,10.98,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:18:32 23/10/2025,95.8,77.3,44.57,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:18:34 23/10/2025,61.3,90.4,18.41,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:18:36 23/10/2025,70.6,35.5,37.58,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:18:38 23/10/2025,53.3,78.3,19.14,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:18:40 23/10/2025,48.9,32.7,35.29,"Bình thường","An toàn"
16:18:42 23/10/2025,97.8,5.5,3.66,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:18:44 23/10/2025,20.2,6.8,23.80,"Bình thường","An toàn"
16:18:46 23/10/2025,94.7,25.5,43.96,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:18:48 23/10/2025,37.2,72.9,31.22,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:18:50 23/10/2025,35.7,40.6,14.05,"Bình thường","An toàn"
16:18:52 23/10/2025,76.7,80.7,41.53,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:18:54 23/10/2025,30.1,41.6,2.50,"Bình thường","An toàn"
16:18:56 23/10/2025,78.9,6.9,27.66,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:18:58 23/10/2025,83.3,28.5,38.41,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:19:00 23/10/2025,48.9,96.4,10.55,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:19:02 23/10/2025,3.6,55.3,1.83,"Bình thường","An toàn"
16:19:04 23/10/2025,35.8,36.2,48.39,"Bình thường","An toàn"
16:19:06 23/10/2025,53.2,53.3,40.90,"Bình thường","An toàn"
16:19:08 23/10/2025,41.6,95.9,31.08,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:19:10 23/10/2025,7.0,67.3,15.56,"Bình thường","An toàn"
16:19:12 23/10/2025,93.9,79.6,49.04,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:19:14 23/10/2025,53.2,16.1,44.34,"Bình thường","An toàn"
16:19:16 23/10/2025,49.9,69.0,36.78,"Bình thường","An toàn"
16:19:18 23/10/2025,23.2,23.7,19.19,"Bình thường","An toàn"
16:19:20 23/10/2025,63.4,73.4,32.73,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:19:22 23/10/2025,20.4,88.4,38.97,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:19:24 23/10/2025,54.5,54.8,20.94,"Bình thường","An toàn"
16:19:26 23/10/2025,90.5,44.1,18.10,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:19:28 23/10/2025,48.4,77.9,25.48,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:19:30 23/10/2025,3.4,14.1,23.52,"Bình thường","An toàn"
16:19:32 23/10/2025,81.3,5.1,24.31,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:19:34 23/10/2025,53.3,97.8,22.41,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:19:36 23/10/2025,63.3,79.8,44.63,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:19:38 23/10/2025,97.3,16.3,48.14,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:19:40 23/10/2025,90.5,4.8,18.77,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:19:42 23/10/2025,88.8,49.2,12.82,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:19:44 23/10/2025,98.7,3.4,12.33,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:19:46 23/10/2025,66.1,12.5,43.22,"Bình thường","An toàn"
16:19:48 23/10/2025,35.5,68.8,14.86,"Bình thường","An toàn"
16:19:50 23/10/2025,45.8,37.6,11.77,"Bình thường","An toàn"
16:19:52 23/10/2025,75.3,67.1,22.40,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:19:54 23/10/2025,69.9,81.8,10.96,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:19:56 23/10/2025,86.8,28.6,48.62,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:19:58 23/10/2025,65.0,74.3,41.80,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:00 23/10/2025,17.8,76.8,37.19,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:02 23/10/2025,5.7,71.1,35.56,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:04 23/10/2025,59.1,70.5,41.29,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:06 23/10/2025,22.5,41.9,14.68,"Bình thường","An toàn"
16:20:08 23/10/2025,85.0,91.4,16.35,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:20:10 23/10/2025,94.7,79.7,48.75,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:20:12 23/10/2025,2.5,96.0,37.87,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:20:14 23/10/2025,89.1,66.1,3.29,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:16 23/10/2025,15.2,61.3,1.93,"Bình thường","An toàn"
16:20:18 23/10/2025,46.6,72.2,10.43,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:20 23/10/2025,31.4,99.1,11.78,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:20:22 23/10/2025,15.7,39.7,35.51,"Bình thường","An toàn"
16:20:24 23/10/2025,67.7,49.4,43.96,"Bình thường","An toàn"
16:20:26 23/10/2025,93.3,49.0,49.37,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:20:28 23/10/2025,48.7,80.1,30.31,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:30 23/10/2025,93.0,80.8,9.67,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:20:32 23/10/2025,38.2,55.2,5.96,"Bình thường","An toàn"
16:20:34 23/10/2025,53.3,8.7,18.81,"Bình thường","An toàn"
16:20:36 23/10/2025,82.9,26.6,46.42,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:38 23/10/2025,5.9,84.1,46.27,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:40 23/10/2025,83.4,68.4,10.63,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:42 23/10/2025,86.6,9.4,0.04,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:44 23/10/2025,42.5,76.1,28.42,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:46 23/10/2025,35.0,91.5,15.64,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:20:48 23/10/2025,87.0,13.5,7.94,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:50 23/10/2025,79.2,12.0,34.85,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:52 23/10/2025,78.4,94.8,48.68,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:20:54 23/10/2025,84.2,65.5,41.28,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:20:56 23/10/2025,11.6,22.1,37.94,"Bình thường","An toàn"
16:20:58 23/10/2025,78.7,29.6,36.90,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:21:00 23/10/2025,90.8,89.2,4.92,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:21:02 23/10/2025,61.5,9.1,47.52,"Bình thường","An toàn"
16:21:04 23/10/2025,9.0,82.3,34.15,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:21:06 23/10/2025,90.4,33.5,30.06,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:21:08 23/10/2025,99.1,28.1,16.33,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:21:10 23/10/2025,27.3,89.2,0.36,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:21:12 23/10/2025,74.8,73.1,20.80,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:21:14 23/10/2025,81.1,15.5,13.33,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:21:16 23/10/2025,98.7,38.6,24.88,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:21:18 23/10/2025,75.2,75.1,26.99,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:21:20 23/10/2025,4.5,60.3,39.95,"Bình thường","An toàn"
16:21:22 23/10/2025,34.2,90.3,13.37,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:21:24 23/10/2025,0.5,39.3,44.31,"Bình thường","An toàn"
16:21:26 23/10/2025,46.4,64.8,49.13,"Bình thường","An toàn"
16:21:28 23/10/2025,27.6,30.7,37.39,"Bình thường","An toàn"
16:21:30 23/10/2025,99.4,18.1,40.06,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
